pin,slack
eeprom_0/eeprom_if_0/un1_eeprom_cycle_state_22_i_i_a2_0:Y,5076
oscillator_counter_1/count_data[11]:ALn,
oscillator_counter_1/count_data[11]:CLK,7703
oscillator_counter_1/count_data[11]:D,7030
oscillator_counter_1/count_data[11]:EN,7456
oscillator_counter_1/count_data[11]:Q,7703
eeprom_0/EEP_DO_20_13_1_wmux_0[19]:A,3883
eeprom_0/EEP_DO_20_13_1_wmux_0[19]:B,4665
eeprom_0/EEP_DO_20_13_1_wmux_0[19]:C,6414
eeprom_0/EEP_DO_20_13_1_wmux_0[19]:D,6356
eeprom_0/EEP_DO_20_13_1_wmux_0[19]:Y,3883
eeprom_0/EEP_DO_20[14]:A,3963
eeprom_0/EEP_DO_20[14]:B,3883
eeprom_0/EEP_DO_20[14]:C,6811
eeprom_0/EEP_DO_20[14]:D,6484
eeprom_0/EEP_DO_20[14]:Y,3883
BEL_SW_CONFIG0_ibuf/U_IOIN:Y,
BEL_SW_CONFIG0_ibuf/U_IOIN:YIN,
eeprom_0/eeprom_if_0/eeprom_cycle_state_ns_0_0_tz[9]:A,7424
eeprom_0/eeprom_if_0/eeprom_cycle_state_ns_0_0_tz[9]:B,7376
eeprom_0/eeprom_if_0/eeprom_cycle_state_ns_0_0_tz[9]:C,6258
eeprom_0/eeprom_if_0/eeprom_cycle_state_ns_0_0_tz[9]:D,7104
eeprom_0/eeprom_if_0/eeprom_cycle_state_ns_0_0_tz[9]:Y,6258
PHY_RMII_RX_DATA1_ibuf/U_IOPAD:PAD,17256
PHY_RMII_RX_DATA1_ibuf/U_IOPAD:Y,17256
phy_if_0/un2_rx_good_and_RNO_65:A,5846
phy_if_0/un2_rx_good_and_RNO_65:B,3603
phy_if_0/un2_rx_good_and_RNO_65:C,4519
phy_if_0/un2_rx_good_and_RNO_65:CC,
phy_if_0/un2_rx_good_and_RNO_65:D,4391
phy_if_0/un2_rx_good_and_RNO_65:P,3603
phy_if_0/un2_rx_good_and_RNO_65:Y3,
phy_if_0/un2_rx_good_and_RNO_65:Y3A,
eeprom_0/EEP_DO_20_13_1_wmux_0[13]:A,3883
eeprom_0/EEP_DO_20_13_1_wmux_0[13]:B,4665
eeprom_0/EEP_DO_20_13_1_wmux_0[13]:C,6414
eeprom_0/EEP_DO_20_13_1_wmux_0[13]:D,6356
eeprom_0/EEP_DO_20_13_1_wmux_0[13]:Y,3883
app_if_0/OPB_DO_1[6]:ALn,
app_if_0/OPB_DO_1[6]:CLK,1858
app_if_0/OPB_DO_1[6]:D,
app_if_0/OPB_DO_1[6]:EN,4916
app_if_0/OPB_DO_1[6]:Q,1858
eeprom_0/eeprom_if_0/page_rddata_reg[243]:ALn,
eeprom_0/eeprom_if_0/page_rddata_reg[243]:CLK,6428
eeprom_0/eeprom_if_0/page_rddata_reg[243]:D,6268
eeprom_0/eeprom_if_0/page_rddata_reg[243]:EN,3787
eeprom_0/eeprom_if_0/page_rddata_reg[243]:Q,6428
oscillator_counter_0/count_data_cry[5]:B,7698
oscillator_counter_0/count_data_cry[5]:C,7513
oscillator_counter_0/count_data_cry[5]:CC,7528
oscillator_counter_0/count_data_cry[5]:P,7513
oscillator_counter_0/count_data_cry[5]:S,7528
oscillator_counter_0/count_data_cry[5]:Y3,
oscillator_counter_0/count_data_cry[5]:Y3A,
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[142]:A,8248
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[142]:B,8202
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[142]:C,6815
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[142]:Y,6815
phy_if_0/OPB_DO_RNO_0[2]:A,6313
phy_if_0/OPB_DO_RNO_0[2]:B,6370
phy_if_0/OPB_DO_RNO_0[2]:C,1725
phy_if_0/OPB_DO_RNO_0[2]:D,2746
phy_if_0/OPB_DO_RNO_0[2]:Y,1725
oscillator_counter_1/count_data_cry[8]:B,17782
oscillator_counter_1/count_data_cry[8]:C,7159
oscillator_counter_1/count_data_cry[8]:CC,7063
oscillator_counter_1/count_data_cry[8]:P,7159
oscillator_counter_1/count_data_cry[8]:S,7063
oscillator_counter_1/count_data_cry[8]:Y3,
oscillator_counter_1/count_data_cry[8]:Y3A,
gpio_0/OPB_DO_7_2_1_0_wmux[14]:A,4817
gpio_0/OPB_DO_7_2_1_0_wmux[14]:B,5279
gpio_0/OPB_DO_7_2_1_0_wmux[14]:C,6532
gpio_0/OPB_DO_7_2_1_0_wmux[14]:D,6474
gpio_0/OPB_DO_7_2_1_0_wmux[14]:Y,4817
eeprom_0/eeprom_if_0/page_wrdata_reg[4]:ALn,
eeprom_0/eeprom_if_0/page_wrdata_reg[4]:CLK,7426
eeprom_0/eeprom_if_0/page_wrdata_reg[4]:D,6815
eeprom_0/eeprom_if_0/page_wrdata_reg[4]:EN,3868
eeprom_0/eeprom_if_0/page_wrdata_reg[4]:Q,7426
oscillator_counter_1/sp[9]:ALn,
oscillator_counter_1/sp[9]:CLK,8248
oscillator_counter_1/sp[9]:D,8866
oscillator_counter_1/sp[9]:EN,5106
oscillator_counter_1/sp[9]:Q,8248
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_31_125_RNIBFQMQ:A,6986
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_31_125_RNIBFQMQ:B,6284
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_31_125_RNIBFQMQ:C,6880
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_31_125_RNIBFQMQ:D,6822
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_31_125_RNIBFQMQ:Y,6284
u_cmd_server/opb_emu_target_inst/msg_write_inst/TX_FIFO_DATA_6_0_iv_0_a3[2]:A,7222
u_cmd_server/opb_emu_target_inst/msg_write_inst/TX_FIFO_DATA_6_0_iv_0_a3[2]:B,7256
u_cmd_server/opb_emu_target_inst/msg_write_inst/TX_FIFO_DATA_6_0_iv_0_a3[2]:Y,7222
u_cmd_server/opb_emu_target_inst/msg_read_inst/byte_tail[1]:ALn,
u_cmd_server/opb_emu_target_inst/msg_read_inst/byte_tail[1]:CLK,5514
u_cmd_server/opb_emu_target_inst/msg_read_inst/byte_tail[1]:D,6475
u_cmd_server/opb_emu_target_inst/msg_read_inst/byte_tail[1]:EN,6220
u_cmd_server/opb_emu_target_inst/msg_read_inst/byte_tail[1]:Q,5514
u_cmd_server/opb_emu_target_inst/msg_read_inst/byte_tail[1]:SLn,7111
gpio_0/OPB_DO_7_2_1_0_wmux[16]:A,4817
gpio_0/OPB_DO_7_2_1_0_wmux[16]:B,5279
gpio_0/OPB_DO_7_2_1_0_wmux[16]:C,6532
gpio_0/OPB_DO_7_2_1_0_wmux[16]:D,6474
gpio_0/OPB_DO_7_2_1_0_wmux[16]:Y,4817
eeprom_0/EEP_DO_20_12_1_0_wmux[8]:A,4789
eeprom_0/EEP_DO_20_12_1_0_wmux[8]:B,4035
eeprom_0/EEP_DO_20_12_1_0_wmux[8]:C,5784
eeprom_0/EEP_DO_20_12_1_0_wmux[8]:D,5726
eeprom_0/EEP_DO_20_12_1_0_wmux[8]:Y,4035
u_cmd_server/msg_buffer_inst/rx_fifo_inst/rq2_wgray[4]:ALn,
u_cmd_server/msg_buffer_inst/rx_fifo_inst/rq2_wgray[4]:CLK,8203
u_cmd_server/msg_buffer_inst/rx_fifo_inst/rq2_wgray[4]:D,9030
u_cmd_server/msg_buffer_inst/rx_fifo_inst/rq2_wgray[4]:Q,8203
adder_decode_0/un5_PHY_RElto31_1_i_a2_0_11:A,956
adder_decode_0/un5_PHY_RElto31_1_i_a2_0_11:B,918
adder_decode_0/un5_PHY_RElto31_1_i_a2_0_11:C,751
adder_decode_0/un5_PHY_RElto31_1_i_a2_0_11:Y,751
u_cmd_server/opb_emu_target_inst/msg_write_inst/timeout_cnt_s[7]:B,8530
u_cmd_server/opb_emu_target_inst/msg_write_inst/timeout_cnt_s[7]:C,8037
u_cmd_server/opb_emu_target_inst/msg_write_inst/timeout_cnt_s[7]:CC,7543
u_cmd_server/opb_emu_target_inst/msg_write_inst/timeout_cnt_s[7]:P,
u_cmd_server/opb_emu_target_inst/msg_write_inst/timeout_cnt_s[7]:S,7543
u_cmd_server/opb_emu_target_inst/msg_write_inst/timeout_cnt_s[7]:Y3,
u_cmd_server/opb_emu_target_inst/msg_write_inst/timeout_cnt_s[7]:Y3A,
u_cmd_server/opb_emu_target_inst/msg_read_inst/next_state20lto5_0:A,3600
u_cmd_server/opb_emu_target_inst/msg_read_inst/next_state20lto5_0:B,3553
u_cmd_server/opb_emu_target_inst/msg_read_inst/next_state20lto5_0:Y,3553
eeprom_0/eeprom_page_wrdata4[15]:ALn,
eeprom_0/eeprom_page_wrdata4[15]:CLK,4608
eeprom_0/eeprom_page_wrdata4[15]:D,8860
eeprom_0/eeprom_page_wrdata4[15]:EN,3181
eeprom_0/eeprom_page_wrdata4[15]:Q,4608
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[104]:ALn,6478
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[104]:CLK,5138
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[104]:D,18993
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[104]:EN,16407
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[104]:Q,5138
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[104]:SLn,18092
eeprom_0/eeprom_if_0/un1_bit_cntr_4_sqmuxa_1:A,4170
eeprom_0/eeprom_if_0/un1_bit_cntr_4_sqmuxa_1:B,4106
eeprom_0/eeprom_if_0/un1_bit_cntr_4_sqmuxa_1:Y,4106
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[250]:A,6889
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[250]:B,6417
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[250]:C,8130
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[250]:D,7878
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[250]:Y,6417
adder_decode_0/un1_SP_IN_0_iv_0[29]:A,6402
adder_decode_0/un1_SP_IN_0_iv_0[29]:B,6362
adder_decode_0/un1_SP_IN_0_iv_0[29]:C,6096
adder_decode_0/un1_SP_IN_0_iv_0[29]:D,6038
adder_decode_0/un1_SP_IN_0_iv_0[29]:Y,6038
phy_if_0/tx_package[81]:ALn,
phy_if_0/tx_package[81]:CLK,4669
phy_if_0/tx_package[81]:D,8908
phy_if_0/tx_package[81]:EN,2448
phy_if_0/tx_package[81]:Q,4669
phy_if_0/serial_mii_inst/un1_SERIAL_MII_CYCLE_STATE_0_sqmuxa_3_0:A,
phy_if_0/serial_mii_inst/un1_SERIAL_MII_CYCLE_STATE_0_sqmuxa_3_0:B,
phy_if_0/serial_mii_inst/un1_SERIAL_MII_CYCLE_STATE_0_sqmuxa_3_0:C,
phy_if_0/serial_mii_inst/un1_SERIAL_MII_CYCLE_STATE_0_sqmuxa_3_0:D,
phy_if_0/serial_mii_inst/un1_SERIAL_MII_CYCLE_STATE_0_sqmuxa_3_0:Y,
oscillator_counter_1/opb_fifo_inst/rbin[2]:ALn,
oscillator_counter_1/opb_fifo_inst/rbin[2]:CLK,
oscillator_counter_1/opb_fifo_inst/rbin[2]:D,
oscillator_counter_1/opb_fifo_inst/rbin[2]:Q,
eeprom_0/eeprom_page_wrdata2[5]:ALn,
eeprom_0/eeprom_page_wrdata2[5]:CLK,4778
eeprom_0/eeprom_page_wrdata2[5]:D,8854
eeprom_0/eeprom_page_wrdata2[5]:EN,3994
eeprom_0/eeprom_page_wrdata2[5]:Q,4778
phy_if_0/un6_rx_good_2_0_I_45:A,6251
phy_if_0/un6_rx_good_2_0_I_45:B,5764
phy_if_0/un6_rx_good_2_0_I_45:C,5702
phy_if_0/un6_rx_good_2_0_I_45:CC,
phy_if_0/un6_rx_good_2_0_I_45:D,6023
phy_if_0/un6_rx_good_2_0_I_45:P,5702
phy_if_0/un6_rx_good_2_0_I_45:Y3,
phy_if_0/un6_rx_good_2_0_I_45:Y3A,
adder_decode_0/un5_PHY_RElto31_1_i_a2_0_8:A,1157
adder_decode_0/un5_PHY_RElto31_1_i_a2_0_8:B,1086
adder_decode_0/un5_PHY_RElto31_1_i_a2_0_8:C,1014
adder_decode_0/un5_PHY_RElto31_1_i_a2_0_8:D,956
adder_decode_0/un5_PHY_RElto31_1_i_a2_0_8:Y,956
phy_if_0/phy_tx_ctrl[3]:ALn,
phy_if_0/phy_tx_ctrl[3]:CLK,4578
phy_if_0/phy_tx_ctrl[3]:D,8854
phy_if_0/phy_tx_ctrl[3]:EN,2446
phy_if_0/phy_tx_ctrl[3]:Q,4578
eeprom_0/eeprom_if_0/page_rddata_reg[187]:ALn,
eeprom_0/eeprom_if_0/page_rddata_reg[187]:CLK,6396
eeprom_0/eeprom_if_0/page_rddata_reg[187]:D,6268
eeprom_0/eeprom_if_0/page_rddata_reg[187]:EN,3787
eeprom_0/eeprom_if_0/page_rddata_reg[187]:Q,6396
u_cmd_server/msg_buffer_inst/tx_fifo_inst/wgraynext_0_a2_0_a2[0]:A,5280
u_cmd_server/msg_buffer_inst/tx_fifo_inst/wgraynext_0_a2_0_a2[0]:B,4334
u_cmd_server/msg_buffer_inst/tx_fifo_inst/wgraynext_0_a2_0_a2[0]:C,4227
u_cmd_server/msg_buffer_inst/tx_fifo_inst/wgraynext_0_a2_0_a2[0]:D,4065
u_cmd_server/msg_buffer_inst/tx_fifo_inst/wgraynext_0_a2_0_a2[0]:Y,4065
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[31]:ALn,6478
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[31]:CLK,3711
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[31]:D,18999
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[31]:EN,16407
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[31]:Q,3711
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[31]:SLn,18092
u_cmd_server/opb_emu_target_inst/msg_write_inst/state_RNO[6]:A,8193
u_cmd_server/opb_emu_target_inst/msg_write_inst/state_RNO[6]:B,8134
u_cmd_server/opb_emu_target_inst/msg_write_inst/state_RNO[6]:C,8062
u_cmd_server/opb_emu_target_inst/msg_write_inst/state_RNO[6]:D,5081
u_cmd_server/opb_emu_target_inst/msg_write_inst/state_RNO[6]:Y,5081
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[208]:A,8242
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[208]:B,
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[208]:C,6381
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[208]:D,6719
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[208]:Y,6381
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[179]:A,8242
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[179]:B,8008
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[179]:C,6777
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[179]:D,6268
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[179]:Y,6268
oscillator_counter_1/count_data[9]:ALn,
oscillator_counter_1/count_data[9]:CLK,7703
oscillator_counter_1/count_data[9]:D,7000
oscillator_counter_1/count_data[9]:EN,7456
oscillator_counter_1/count_data[9]:Q,7703
scratch_pad_register_0/SP_DO_7_1[6]:A,7426
scratch_pad_register_0/SP_DO_7_1[6]:B,7386
scratch_pad_register_0/SP_DO_7_1[6]:C,3179
scratch_pad_register_0/SP_DO_7_1[6]:D,3272
scratch_pad_register_0/SP_DO_7_1[6]:Y,3179
scratch_pad_register_0/dev_sp14_0_a2:A,4150
scratch_pad_register_0/dev_sp14_0_a2:B,5098
scratch_pad_register_0/dev_sp14_0_a2:Y,4150
eeprom_0/eeprom_if_0/page_wrdata_reg[76]:ALn,
eeprom_0/eeprom_if_0/page_wrdata_reg[76]:CLK,8248
eeprom_0/eeprom_if_0/page_wrdata_reg[76]:D,6815
eeprom_0/eeprom_if_0/page_wrdata_reg[76]:EN,3868
eeprom_0/eeprom_if_0/page_wrdata_reg[76]:Q,8248
phy_if_0/serial_mii_inst/SERIAL_MII_SHIFT[24]:ALn,
phy_if_0/serial_mii_inst/SERIAL_MII_SHIFT[24]:CLK,
phy_if_0/serial_mii_inst/SERIAL_MII_SHIFT[24]:D,
phy_if_0/serial_mii_inst/SERIAL_MII_SHIFT[24]:EN,
phy_if_0/serial_mii_inst/SERIAL_MII_SHIFT[24]:Q,
phy_if_0/ctrl_pkg_transceiver_inst/ctrl_tx_data_4_101_i_m3[1]:A,13809
phy_if_0/ctrl_pkg_transceiver_inst/ctrl_tx_data_4_101_i_m3[1]:B,13772
phy_if_0/ctrl_pkg_transceiver_inst/ctrl_tx_data_4_101_i_m3[1]:C,13481
phy_if_0/ctrl_pkg_transceiver_inst/ctrl_tx_data_4_101_i_m3[1]:Y,13481
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.eeprom_addr_reg_8_iv_0[7]:A,7320
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.eeprom_addr_reg_8_iv_0[7]:B,7262
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.eeprom_addr_reg_8_iv_0[7]:C,7354
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.eeprom_addr_reg_8_iv_0[7]:D,7290
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.eeprom_addr_reg_8_iv_0[7]:Y,7262
u_cmd_server/cmn_uart_inst/uart_rx_data_block[1]:ALn,
u_cmd_server/cmn_uart_inst/uart_rx_data_block[1]:CLK,8207
u_cmd_server/cmn_uart_inst/uart_rx_data_block[1]:D,9024
u_cmd_server/cmn_uart_inst/uart_rx_data_block[1]:EN,5333
u_cmd_server/cmn_uart_inst/uart_rx_data_block[1]:Q,8207
phy_if_0/OPB_DO_RNO_4[11]:A,
phy_if_0/OPB_DO_RNO_4[11]:B,4660
phy_if_0/OPB_DO_RNO_4[11]:C,3287
phy_if_0/OPB_DO_RNO_4[11]:D,2657
phy_if_0/OPB_DO_RNO_4[11]:Y,2657
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[19]:A,8248
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[19]:B,8202
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[19]:C,6815
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[19]:Y,6815
eeprom_0/eeprom_page_wrdata0[24]:ALn,
eeprom_0/eeprom_page_wrdata0[24]:CLK,5784
eeprom_0/eeprom_page_wrdata0[24]:D,8920
eeprom_0/eeprom_page_wrdata0[24]:EN,3181
eeprom_0/eeprom_page_wrdata0[24]:Q,5784
eeprom_0/eeprom_if_0/page_wrdata_reg[46]:ALn,
eeprom_0/eeprom_if_0/page_wrdata_reg[46]:CLK,8248
eeprom_0/eeprom_if_0/page_wrdata_reg[46]:D,6815
eeprom_0/eeprom_if_0/page_wrdata_reg[46]:EN,3868
eeprom_0/eeprom_if_0/page_wrdata_reg[46]:Q,8248
u_cmd_server/opb_emu_target_inst/msg_read_inst/OPB_DO[1]:ALn,
u_cmd_server/opb_emu_target_inst/msg_read_inst/OPB_DO[1]:CLK,7198
u_cmd_server/opb_emu_target_inst/msg_read_inst/OPB_DO[1]:D,5523
u_cmd_server/opb_emu_target_inst/msg_read_inst/OPB_DO[1]:EN,5951
u_cmd_server/opb_emu_target_inst/msg_read_inst/OPB_DO[1]:Q,7198
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[91]:A,8242
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[91]:B,8008
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[91]:C,6777
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[91]:D,6284
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[91]:Y,6284
eeprom_0/EEP_DO_20_12_1_0_wmux[17]:A,4789
eeprom_0/EEP_DO_20_12_1_0_wmux[17]:B,4035
eeprom_0/EEP_DO_20_12_1_0_wmux[17]:C,5784
eeprom_0/EEP_DO_20_12_1_0_wmux[17]:D,5726
eeprom_0/EEP_DO_20_12_1_0_wmux[17]:Y,4035
phy_if_0/un6_rx_good_3_0_I_27_RNO:A,5158
phy_if_0/un6_rx_good_3_0_I_27_RNO:B,5124
phy_if_0/un6_rx_good_3_0_I_27_RNO:C,3799
phy_if_0/un6_rx_good_3_0_I_27_RNO:D,3733
phy_if_0/un6_rx_good_3_0_I_27_RNO:Y,3733
eeprom_0/eeprom_if_0/page_rddata_reg[216]:ALn,
eeprom_0/eeprom_if_0/page_rddata_reg[216]:CLK,6486
eeprom_0/eeprom_if_0/page_rddata_reg[216]:D,6381
eeprom_0/eeprom_if_0/page_rddata_reg[216]:EN,3787
eeprom_0/eeprom_if_0/page_rddata_reg[216]:Q,6486
phy_if_0/tx_package_RNO[126]:A,5445
phy_if_0/tx_package_RNO[126]:B,8177
phy_if_0/tx_package_RNO[126]:C,8026
phy_if_0/tx_package_RNO[126]:Y,5445
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.TYPE_DATA_8[3]:A,8150
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.TYPE_DATA_8[3]:B,8208
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.TYPE_DATA_8[3]:Y,8150
gpio_0/TP_OUT_REG[6]:ALn,
gpio_0/TP_OUT_REG[6]:CLK,7250
gpio_0/TP_OUT_REG[6]:D,8854
gpio_0/TP_OUT_REG[6]:EN,4774
gpio_0/TP_OUT_REG[6]:Q,7250
u_cmd_server/cmn_uart_inst/uart_rx_data_in_ack_0_sqmuxa_0_a2:A,7164
u_cmd_server/cmn_uart_inst/uart_rx_data_in_ack_0_sqmuxa_0_a2:B,7170
u_cmd_server/cmn_uart_inst/uart_rx_data_in_ack_0_sqmuxa_0_a2:Y,7164
seconds_3_1.SUM[2]:A,
seconds_3_1.SUM[2]:B,
seconds_3_1.SUM[2]:C,
seconds_3_1.SUM[2]:D,
seconds_3_1.SUM[2]:Y,
oscillator_counter_0/startb:ALn,
oscillator_counter_0/startb:CLK,4893
oscillator_counter_0/startb:D,4345
oscillator_counter_0/startb:EN,3307
oscillator_counter_0/startb:Q,4893
phy_if_0/tx_package_RNO[62]:A,5445
phy_if_0/tx_package_RNO[62]:B,8177
phy_if_0/tx_package_RNO[62]:C,8026
phy_if_0/tx_package_RNO[62]:Y,5445
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[160]:A,8242
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[160]:B,
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[160]:C,6381
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[160]:D,6719
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[160]:Y,6381
eeprom_0/eeprom_if_0/page_rddata_reg[49]:ALn,
eeprom_0/eeprom_if_0/page_rddata_reg[49]:CLK,6508
eeprom_0/eeprom_if_0/page_rddata_reg[49]:D,6284
eeprom_0/eeprom_if_0/page_rddata_reg[49]:EN,3787
eeprom_0/eeprom_if_0/page_rddata_reg[49]:Q,6508
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[126]:A,8248
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[126]:B,8202
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[126]:C,6815
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[126]:Y,6815
phy_if_0/ctrl_pkg_transceiver_inst/tx_package[127]:ALn,6478
phy_if_0/ctrl_pkg_transceiver_inst/tx_package[127]:CLK,15656
phy_if_0/ctrl_pkg_transceiver_inst/tx_package[127]:D,8561
phy_if_0/ctrl_pkg_transceiver_inst/tx_package[127]:Q,15656
eeprom_0/EEP_DO[1]:ALn,
eeprom_0/EEP_DO[1]:CLK,4770
eeprom_0/EEP_DO[1]:D,2957
eeprom_0/EEP_DO[1]:EN,3988
eeprom_0/EEP_DO[1]:Q,4770
eeprom_0/eeprom_if_0/sclk_RNO_0:A,8010
eeprom_0/eeprom_if_0/sclk_RNO_0:B,8019
eeprom_0/eeprom_if_0/sclk_RNO_0:C,5805
eeprom_0/eeprom_if_0/sclk_RNO_0:D,6822
eeprom_0/eeprom_if_0/sclk_RNO_0:Y,5805
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[131]:ALn,6478
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[131]:CLK,4960
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[131]:D,18999
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[131]:EN,16407
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[131]:Q,4960
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[131]:SLn,18092
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_addr[30]:ALn,
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_addr[30]:CLK,8248
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_addr[30]:D,6832
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_addr[30]:EN,6492
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_addr[30]:Q,8248
phy_if_0/OPB_DO_RNO_12[25]:A,4245
phy_if_0/OPB_DO_RNO_12[25]:B,4197
phy_if_0/OPB_DO_RNO_12[25]:C,3279
phy_if_0/OPB_DO_RNO_12[25]:D,2654
phy_if_0/OPB_DO_RNO_12[25]:Y,2654
gpio_0/TP_OUT_REG[16]:ALn,
gpio_0/TP_OUT_REG[16]:CLK,7250
gpio_0/TP_OUT_REG[16]:D,8908
gpio_0/TP_OUT_REG[16]:EN,4774
gpio_0/TP_OUT_REG[16]:Q,7250
u_cmd_server/cmn_uart_inst/un1_oversample_baud_counter_c3:A,7397
u_cmd_server/cmn_uart_inst/un1_oversample_baud_counter_c3:B,7350
u_cmd_server/cmn_uart_inst/un1_oversample_baud_counter_c3:C,7272
u_cmd_server/cmn_uart_inst/un1_oversample_baud_counter_c3:Y,7272
phy_if_0/smii_read_data_reg[17]:ALn,
phy_if_0/smii_read_data_reg[17]:CLK,
phy_if_0/smii_read_data_reg[17]:D,
phy_if_0/smii_read_data_reg[17]:EN,
phy_if_0/smii_read_data_reg[17]:Q,
clkgen_25mhz/un5_cntr_cry_14:B,7828
clkgen_25mhz/un5_cntr_cry_14:CC,7557
clkgen_25mhz/un5_cntr_cry_14:P,7828
